solar_curr_mA,load_power_mW
1406.049996148795,8941.91732301482
1330.499944742769,8941.76396638478
1229.0998711250722,8941.606622653744
1104.3500126106667,8941.44437441692
1143.4499901952222,8941.28365851923
1265.399914700538,8941.127729815129
1366.1998673342168,8940.97575752283
1440.699852537364,8940.826708520211
1486.6999117657545,8940.67946323444
1504.1499864310026,8940.532900100361
1494.04993862845,8940.385936807312
1453.7500101141632,8940.237386922088
1386.3499043509364,8940.086185758266
1295.44991068542,8939.93141004485
1171.749972854741,8939.771771130254
1118.2500020368027,8939.610026758312
1253.4498819150033,8939.453590088866
1362.8500164486468,8939.301447682488
1448.8998567685485,8939.152682304872
1504.3499297462404,8939.006091899884
1533.3500050473958,8938.860637410417
1531.2500181607904,8938.715097074333
1500.5499881226572,8938.56834731643
1440.699998056516,8938.419242931763
1352.099934592843,8938.26665439886
1238.9499170240015,8938.109617174938
1101.6499774996191,8937.947182410553
1236.2499546725305,8937.790031763789
1357.1500312536955,8937.637627145752
1451.4000213239342,8937.488921697879
1518.2000061031433,8937.342837112134
1555.9999155811965,8937.198234160063
1564.9999841116369,8937.053981453342
1542.9500490427017,8936.908859178357
1491.3000632077456,8936.761704455841
1410.4999718256295,8936.611372056179
1301.949960179627,8936.456771730656
1169.0000246744605,8936.296944812455
1214.9999383836985,8936.138921353755
1344.7500532492995,8935.98599158243
1449.3499475065619,8935.837167571257
1528.04990648292,8935.691431917201
1572.1499221399426,8935.547425407784
1594.6499479468914,8935.404299511687
1578.7000302225351,8935.260543715587
1536.249910714105,8935.115116925512
1461.9500143453479,8934.96676786164
1360.9499728772792,8934.814447522285
1233.8999658823016,8934.65713242436
1187.0999878738075,8934.49797513241
1327.7499238029122,8934.344339707633
1443.2499301619828,8934.195238244152
1530.149893369526,8934.049547273164
1588.099985383451,8933.906129556748
1618.3499246835709,8933.763896926886
1613.7000056914987,8933.621478344907
1579.4999490026385,8933.477712908163
1515.0499530136585,8933.331412195037
1420.7500498741867,8933.181403472092
1296.2499749846759,8933.026500218459
1158.099912572652,8932.866166071732
1308.8500418234617,8932.711750557033
1432.950084563345,8932.562206842931
1532.6500579249116,8932.416576467414
1601.149997441098,8932.273633804938
1639.5500279031694,8932.132196420907
1646.899909246713,8931.991044522618
1621.2501213885844,8931.848881700973
